Model,Accuracy,Precision,Recall,F1,ROC-AUC
Logistic Regression,0.961577894,0.75,0.003802281,0.007566204,0.792653968
Random Forest,0.959332129,0.38172043,0.089987326,0.145641026,0.809418514
